image_path,split,true_label,resnet_cx,resnet_cy,densenet_cx,densenet_cy,eff_cx,eff_cy,dist_resnet_to_mean,dist_dense_to_mean,dist_eff_to_mean
data\dataset_cls\train\Fractured\IMG0000019.jpg,train,Fractured,0.543759,0.600201,0.594387,0.477423,0.613049,0.580876,0.06198,0.07616,0.04057
data\dataset_cls\train\Fractured\IMG0000025.jpg,train,Fractured,0.624675,0.293168,0.498089,0.671587,0.386705,0.375419,0.195822,0.224919,0.136548
data\dataset_cls\train\Fractured\IMG0000044.jpg,train,Fractured,0.677058,0.584658,0.61367,0.616912,0.613308,0.606533,0.04606,0.025363,0.021712
data\dataset_cls\train\Fractured\IMG0000057.jpg,train,Fractured,0.428448,0.493661,0.540173,0.69175,0.498394,0.560013,0.106945,0.121266,0.023732
data\dataset_cls\train\Fractured\IMG0000058.jpg,train,Fractured,0.440782,0.595514,0.651532,0.592247,0.552678,0.527561,0.110137,0.105212,0.044427
data\dataset_cls\train\Fractured\IMG0000059.jpg,train,Fractured,0.525603,0.435108,0.639171,0.723847,0.505507,0.513198,0.126183,0.185745,0.067671
data\dataset_cls\train\Fractured\IMG0000092.jpg,train,Fractured,0.572846,0.636643,0.526228,0.597276,0.470621,0.534258,0.068515,0.008434,0.076208
data\dataset_cls\train\Fractured\IMG0000100.jpg,train,Fractured,0.602075,0.6945,0.692136,0.582303,0.524124,0.557852,0.083047,0.090861,0.098008
data\dataset_cls\train\Fractured\IMG0000142.jpg,train,Fractured,0.631017,0.485602,0.654293,0.58054,0.441499,0.476927,0.06243,0.102822,0.139229
data\dataset_cls\train\Fractured\IMG0000143.jpg,train,Fractured,0.727987,0.645145,0.753959,0.689395,0.526932,0.575346,0.058979,0.09948,0.155297
data\dataset_cls\train\Fractured\IMG0000144.jpg,train,Fractured,0.57256,0.505965,0.597888,0.517578,0.411689,0.414925,0.052367,0.080139,0.132487
data\dataset_cls\train\Fractured\IMG0000151.jpg,train,Fractured,0.755285,0.275252,0.399203,0.525727,0.520633,0.592523,0.27311,0.17054,0.133469
data\dataset_cls\train\Fractured\IMG0000155.jpg,train,Fractured,0.248382,0.534512,0.410315,0.546861,0.359409,0.410777,0.09827,0.086495,0.088895
data\dataset_cls\train\Fractured\IMG0000156.jpg,train,Fractured,0.375673,0.571064,0.490598,0.668743,0.464821,0.594152,0.079043,0.074143,0.02722
data\dataset_cls\train\Fractured\IMG0000188.jpg,train,Fractured,0.664578,0.235619,0.620587,0.250491,0.5854,0.309762,0.050656,0.015088,0.058574
data\dataset_cls\train\Fractured\IMG0000189.jpg,train,Fractured,0.760727,0.442989,0.537328,0.636533,0.422312,0.593764,0.219644,0.086661,0.155372
data\dataset_cls\train\Fractured\IMG0000190.jpg,train,Fractured,0.60133,0.548623,0.547756,0.493213,0.560173,0.488076,0.049911,0.027653,0.023899
data\dataset_cls\train\Fractured\IMG0000206.jpg,train,Fractured,0.501194,0.088438,0.381447,0.242742,0.603622,0.439651,0.168605,0.114855,0.212343
data\dataset_cls\train\Fractured\IMG0000207.jpg,train,Fractured,0.476483,0.194064,0.376002,0.181026,0.609695,0.274822,0.025072,0.116945,0.135437
data\dataset_cls\train\Fractured\IMG0000261.jpg,train,Fractured,0.590659,0.321059,0.522341,0.351327,0.633769,0.440889,0.050733,0.063091,0.086748
data\dataset_cls\train\Fractured\IMG0000284.jpg,train,Fractured,0.701188,0.333109,0.376828,0.391085,0.51497,0.526573,0.189711,0.156318,0.110816
data\dataset_cls\train\Fractured\IMG0000307.jpg,train,Fractured,0.528627,0.311389,0.552803,0.410251,0.460897,0.36167,0.051791,0.062552,0.053215
data\dataset_cls\train\Fractured\IMG0000319.jpg,train,Fractured,0.593725,0.325131,0.653242,0.353579,0.548417,0.409837,0.038014,0.055559,0.068646
data\dataset_cls\train\Fractured\IMG0000351.jpg,train,Fractured,0.557177,0.263535,0.547858,0.36541,0.618171,0.355606,0.066904,0.045721,0.05165
data\dataset_cls\train\Fractured\IMG0000352.jpg,train,Fractured,0.567346,0.459358,0.534498,0.506508,0.579654,0.515589,0.035134,0.028932,0.028998
data\dataset_cls\train\Fractured\IMG0000443.jpg,train,Fractured,0.50367,0.42624,0.473528,0.556018,0.569394,0.414421,0.041069,0.099734,0.074273
data\dataset_cls\train\Fractured\IMG0000453.jpg,train,Fractured,0.488981,0.592627,0.572276,0.673557,0.603885,0.63112,0.077132,0.044586,0.048855
data\dataset_cls\train\Fractured\IMG0000454.jpg,train,Fractured,0.562903,0.689645,0.621255,0.729098,0.626143,0.626216,0.041311,0.050682,0.059908
