ea_id,method,family,type,val_f1,val_auc,val_recall,val_precision,val_threshold,test_f1,test_auc,test_recall,test_precision,test_threshold,vs_gel_val_f1,vs_gel_val_auc,reference,notes
GEL-v3,Gated Ensemble Logic,Custom 4-stage,BASELINE,0.7394,0.906,0.7439,0.7349,0.4,0.6614,0.8916,0.6885,0.6364,0.4,0.0,0.0,This thesis,GEL v3 grid-optimal γ=11.4 δ=0.21
EA-A1,Mean (sum rule),A,LIT,0.738255033557047,0.9043757186951522,0.6707317073170732,0.8208955223880597,0.5449999999999999,0.6415094339622641,0.8935333615631237,0.5573770491803278,0.7555555555555555,0.5449999999999999,-0.0011,-0.0016,Kuncheva 2014; Müller et al. 2022,No training. Equal weights. Parameter-free floor.
EA-A2,Product rule,A,LIT,0.7466666666666667,0.888761120861829,0.6829268292682927,0.8235294117647058,0.595,0.6542056074766355,0.8738128364890205,0.5737704918032787,0.7608695652173914,0.595,0.0073,-0.0172,Kittler et al. 1998,Normalised product rule. No training. Penalises disagreement harder than mean.
EA-A3,Max rule,A,LIT,0.7142857142857143,0.9002451128729648,0.7317073170731707,0.6976744186046512,0.6649999999999999,0.6446280991735537,0.891113665235013,0.639344262295082,0.65,0.6649999999999999,-0.0251,-0.0058,Kittler et al. 1998,Max rule. No training. Most optimistic combiner — dominated by the highest-confidence model.
EA-A4,Calibrated mean,A,ORIG,0.7333333333333333,0.9039823276644677,0.6707317073170732,0.8088235294117647,0.5549999999999999,0.6285714285714286,0.8919605589498517,0.5409836065573771,0.75,0.5549999999999999,-0.0061,-0.002,Guo et al. 2017,Per-model temperature scaling (train NLL) before mean. T1=0.707  T2=0.639  T3=0.729. Corrects overconfidence before fusion.
EA-B1,F1-weighted average,B,LIT,0.7333333333333333,0.904496762089209,0.6707317073170732,0.8088235294117647,0.5299999999999999,0.6415094339622641,0.8937753311959349,0.5573770491803278,0.7555555555555555,0.5299999999999999,-0.0061,-0.0015,Kuncheva 2014,F1-weighted average. ResNet=0.3305  DenseNet=0.3493  EfficientNet=0.3202. Static weights from val threshold-swept F1.
EA-B2,RC power weighting,B,LIT,0.738255033557047,0.904194153604067,0.6707317073170732,0.8208955223880597,0.5449999999999999,0.6415094339622641,0.8934123767467183,0.5573770491803278,0.7555555555555555,0.5449999999999999,-0.0011,-0.0018,This thesis (GEL v3 RC),"RC power weighting (F1+b)^γ. Best γ=0.5  b=0.5. ResNet=0.3325  DenseNet=0.3380  EfficientNet=0.3295. GEL γ=11.4 reference: val F1=0.7368. RC formula only — no OAM, no BVG."
EA-B3,AUC-weighted average,B,LIT,0.738255033557047,0.904496762089209,0.6707317073170732,0.8208955223880597,0.5399999999999999,0.6415094339622641,0.893472869154921,0.5573770491803278,0.7555555555555555,0.5399999999999999,-0.0011,-0.0015,Large & Bagnall 2019,AUC-weighted average. ResNet=0.3397  DenseNet=0.3229  EfficientNet=0.3373. Static weights from val AUC (threshold-independent).
EA-B4,Confidence-modulated weighting,B,ORIG,0.7333333333333333,0.9046178054832658,0.6707317073170732,0.8088235294117647,0.5099999999999999,0.6542056074766355,0.894803702135382,0.5737704918032787,0.7608695652173914,0.5099999999999999,-0.0061,-0.0014,Woloszynski & Kurzynski 2011,Per-sample weights from range_reliability (train decile accuracy). Mean val weights: ResNet=0.3333  DenseNet=0.3504  EfficientNet=0.3164. Dynamic (N x 3) weight matrix — each sample has its own combiner.
EA-B5,Diversity-penalised weighting,B,ORIG,0.738255033557047,0.9043757186951521,0.6707317073170732,0.8208955223880597,0.5449999999999999,0.6415094339622641,0.8935333615631238,0.5573770491803278,0.7555555555555555,0.5449999999999999,-0.0011,-0.0016,Brown et al. 2005; Kuncheva & Whitaker 2003,"Diversity-penalised: F1_i x (1 - λ x avg_corr_i). Best λ=1.5. ResNet=0.3333  DenseNet=0.3333  EfficientNet=0.3333. Train correlations: ρ(Res,Dense)=0.873  ρ(Res,Eff)=0.844  ρ(Dense,Eff)=0.800."
EA-C2,Shallow MLP meta-learner,C,LIT,0.7320261437908496,0.8857350360104097,0.6829268292682927,0.7887323943661971,0.32499999999999996,0.6782608695652174,0.8926259754400823,0.639344262295082,0.7222222222222222,0.32499999999999996,-0.0074,-0.0203,Muller et al. 2022 (arXiv:2202.09015),Grid search on val F1. Best n_hidden=4  alpha=0.001. L2+early_stopping (no dropout in sklearn). Train in-sample F1=0.9637. Train-val gap=0.2317.
EA-C1,Logistic regression meta-learner,C,LIT,0.7368421052631579,0.9041638927555529,0.6829268292682927,0.8,0.21499999999999997,0.6542056074766355,0.8943802552779626,0.5737704918032787,0.7608695652173914,0.21499999999999997,-0.0026,-0.0018,Wolpert 1992; Ting & Witten 1999,C swept on val F1 (lbfgs); best C=0.001 (val F1=0.7368). Final fit: lbfgs fully converged. Coefs: ResNet=0.2810  DenseNet=0.3900  EfficientNet=0.2525. bias=-1.7594. Train in-sample F1=0.9594.
