split,image_id,true_label,resnet_probability,resnet_label,densenet_probability,densenet_label,efficientnet_probability,efficientnet_label,gel_probability,gel_label
train,IMG0000019.jpg,Fractured,0.9199,Fractured,0.9933,Fractured,0.8565,Fractured,0.9350,Fractured
train,IMG0000025.jpg,Fractured,0.8129,Fractured,0.9412,Fractured,0.1482,Non_fractured,0.8114,Fractured
train,IMG0000044.jpg,Fractured,0.9917,Fractured,0.9999,Fractured,0.9930,Fractured,0.9956,Fractured
train,IMG0000057.jpg,Fractured,0.9445,Fractured,0.7185,Fractured,0.6728,Fractured,0.7765,Fractured
train,IMG0000058.jpg,Fractured,0.9659,Fractured,0.2981,Fractured,0.7151,Fractured,0.7286,Fractured
train,IMG0000059.jpg,Fractured,0.9538,Fractured,0.8804,Fractured,0.8315,Fractured,0.8904,Fractured
train,IMG0000092.jpg,Fractured,0.7589,Fractured,0.9982,Fractured,0.4912,Non_fractured,0.8105,Fractured
train,IMG0000100.jpg,Fractured,0.8998,Fractured,0.9997,Fractured,0.4338,Non_fractured,0.9015,Fractured
train,IMG0000142.jpg,Fractured,0.8514,Fractured,0.9435,Fractured,0.9573,Fractured,0.9186,Fractured
train,IMG0000143.jpg,Fractured,0.9532,Fractured,0.9986,Fractured,0.8782,Fractured,0.9532,Fractured
train,IMG0000144.jpg,Fractured,0.9091,Fractured,0.9747,Fractured,0.9437,Fractured,0.9464,Fractured
train,IMG0000151.jpg,Fractured,0.3461,Non_fractured,0.9840,Fractured,0.1944,Non_fractured,0.5150,Fractured
train,IMG0000155.jpg,Fractured,0.6765,Fractured,0.9762,Fractured,0.9342,Fractured,0.8726,Fractured
train,IMG0000156.jpg,Fractured,0.9684,Fractured,0.9998,Fractured,0.9820,Fractured,0.9855,Fractured
train,IMG0000188.jpg,Fractured,0.5489,Fractured,0.9910,Fractured,0.8641,Fractured,0.9263,Fractured
train,IMG0000189.jpg,Fractured,0.9592,Fractured,0.9882,Fractured,0.9238,Fractured,0.9625,Fractured
train,IMG0000190.jpg,Fractured,0.8253,Fractured,0.9795,Fractured,0.3227,Non_fractured,0.8400,Fractured
train,IMG0000206.jpg,Fractured,0.4456,Non_fractured,0.9997,Fractured,0.2847,Non_fractured,0.5907,Fractured
train,IMG0000207.jpg,Fractured,0.3899,Non_fractured,0.9980,Fractured,0.4537,Non_fractured,0.6164,Fractured
train,IMG0000261.jpg,Fractured,0.9998,Fractured,0.9997,Fractured,0.9997,Fractured,0.9997,Fractured
train,IMG0000284.jpg,Fractured,0.5719,Fractured,0.9533,Fractured,0.8049,Fractured,0.7967,Fractured
train,IMG0000307.jpg,Fractured,0.8347,Fractured,0.9949,Fractured,0.8254,Fractured,0.9013,Fractured
train,IMG0000319.jpg,Fractured,0.7512,Fractured,0.9991,Fractured,0.4521,Non_fractured,0.8034,Fractured
train,IMG0000351.jpg,Fractured,0.5867,Fractured,0.8716,Fractured,0.8376,Fractured,0.7746,Fractured
train,IMG0000352.jpg,Fractured,0.9032,Fractured,0.9999,Fractured,0.7353,Fractured,0.9012,Fractured
train,IMG0000443.jpg,Fractured,0.9710,Fractured,0.9990,Fractured,0.9463,Fractured,0.9766,Fractured
train,IMG0000453.jpg,Fractured,0.9987,Fractured,0.9988,Fractured,0.9970,Fractured,0.9983,Fractured
train,IMG0000454.jpg,Fractured,0.9929,Fractured,0.9992,Fractured,0.9741,Fractured,0.9907,Fractured
train,IMG0000455.jpg,Fractured,0.9972,Fractured,0.9949,Fractured,0.9899,Fractured,0.9943,Fractured
train,IMG0000456.jpg,Fractured,0.9999,Fractured,0.9997,Fractured,0.9981,Fractured,0.9993,Fractured
train,IMG0000466.jpg,Fractured,0.8291,Fractured,0.9983,Fractured,0.9180,Fractured,0.9251,Fractured
train,IMG0000467.jpg,Fractured,0.9727,Fractured,0.9951,Fractured,0.9681,Fractured,0.9811,Fractured
train,IMG0000468.jpg,Fractured,0.8323,Fractured,0.9956,Fractured,0.8310,Fractured,0.9023,Fractured
train,IMG0000470.jpg,Fractured,0.9729,Fractured,0.9917,Fractured,0.9776,Fractured,0.9822,Fractured
train,IMG0000471.jpg,Fractured,0.9508,Fractured,0.9998,Fractured,0.1597,Non_fractured,0.8934,Fractured
train,IMG0000472.jpg,Fractured,0.9894,Fractured,0.9800,Fractured,0.4060,Non_fractured,0.9643,Fractured
train,IMG0000479.jpg,Fractured,0.8426,Fractured,0.9946,Fractured,0.4750,Non_fractured,0.8643,Fractured
train,IMG0000480.jpg,Fractured,0.9571,Fractured,0.9966,Fractured,0.8324,Fractured,0.9417,Fractured
train,IMG0000599.jpg,Fractured,0.4930,Non_fractured,0.9997,Fractured,0.5380,Fractured,0.6034,Fractured
train,IMG0000600.jpg,Fractured,0.9158,Fractured,1.0000,Fractured,0.9137,Fractured,0.9515,Fractured
train,IMG0000671.jpg,Fractured,0.7881,Fractured,0.9995,Fractured,0.9721,Fractured,0.9270,Fractured
train,IMG0000692.jpg,Fractured,0.9567,Fractured,0.9994,Fractured,0.9488,Fractured,0.9730,Fractured
train,IMG0000702.jpg,Fractured,0.5522,Fractured,0.9971,Fractured,0.8435,Fractured,0.9227,Fractured
train,IMG0000750.jpg,Fractured,0.8260,Fractured,0.9545,Fractured,0.7421,Fractured,0.8595,Fractured
train,IMG0000751.jpg,Fractured,0.9122,Fractured,0.9886,Fractured,0.8656,Fractured,0.9330,Fractured
train,IMG0000758.jpg,Fractured,0.3105,Non_fractured,0.9916,Fractured,0.3450,Non_fractured,0.5413,Fractured
train,IMG0000762.jpg,Fractured,0.2248,Non_fractured,0.9599,Fractured,0.1213,Non_fractured,0.7206,Fractured
train,IMG0000763.jpg,Fractured,0.3225,Non_fractured,0.9951,Fractured,0.5706,Fractured,0.6829,Fractured
train,IMG0000776.jpg,Fractured,0.9666,Fractured,0.9979,Fractured,0.9733,Fractured,0.9818,Fractured
train,IMG0000777.jpg,Fractured,0.9755,Fractured,0.9967,Fractured,0.8180,Fractured,0.9437,Fractured
train,IMG0000801.jpg,Fractured,0.7674,Fractured,0.9967,Fractured,0.7927,Fractured,0.8727,Fractured
train,IMG0000804.jpg,Fractured,0.9590,Fractured,0.9972,Fractured,0.6458,Fractured,0.9698,Fractured
train,IMG0000805.jpg,Fractured,0.9633,Fractured,0.9996,Fractured,0.2972,Non_fractured,0.9361,Fractured
train,IMG0000822.jpg,Fractured,0.5655,Fractured,0.9998,Fractured,0.8477,Fractured,0.9264,Fractured
train,IMG0000844.jpg,Fractured,0.8124,Fractured,0.8759,Fractured,0.5743,Fractured,0.7778,Fractured
train,IMG0000845.jpg,Fractured,0.0761,Non_fractured,0.9871,Fractured,0.6841,Fractured,0.7325,Fractured
train,IMG0000851.jpg,Fractured,0.3593,Non_fractured,0.9437,Fractured,0.6050,Fractured,0.6910,Fractured
train,IMG0000852.jpg,Fractured,0.4871,Non_fractured,0.9992,Fractured,0.3413,Non_fractured,0.6214,Fractured
train,IMG0001007.jpg,Fractured,0.6741,Fractured,0.9983,Fractured,0.3369,Non_fractured,0.7454,Fractured
train,IMG0001008.jpg,Fractured,0.8027,Fractured,0.9890,Fractured,0.5450,Fractured,0.8401,Fractured
train,IMG0001025.jpg,Fractured,0.8875,Fractured,0.9958,Fractured,0.5460,Fractured,0.9368,Fractured
train,IMG0001026.jpg,Fractured,0.9712,Fractured,0.9983,Fractured,0.4072,Non_fractured,0.9673,Fractured
train,IMG0001041.jpg,Fractured,0.4193,Non_fractured,0.9724,Fractured,0.8813,Fractured,0.8753,Fractured
train,IMG0001073.jpg,Fractured,0.5979,Fractured,0.9781,Fractured,0.8595,Fractured,0.9191,Fractured
train,IMG0001123.jpg,Fractured,0.0810,Non_fractured,0.5602,Fractured,0.1915,Non_fractured,0.2108,Non_fractured
train,IMG0001147.jpg,Fractured,0.8912,Fractured,0.9990,Fractured,0.8282,Fractured,0.9213,Fractured
train,IMG0001148.jpg,Fractured,0.9658,Fractured,0.9983,Fractured,0.8762,Fractured,0.9565,Fractured
train,IMG0001151.jpg,Fractured,0.6861,Fractured,0.9994,Fractured,0.6765,Fractured,0.7405,Fractured
train,IMG0001152.jpg,Fractured,0.5632,Fractured,0.9997,Fractured,0.3559,Non_fractured,0.6730,Fractured
train,IMG0001191.jpg,Fractured,0.6864,Fractured,0.9995,Fractured,0.9266,Fractured,0.8837,Fractured
train,IMG0001192.jpg,Fractured,0.9802,Fractured,0.9988,Fractured,0.9653,Fractured,0.9843,Fractured
train,IMG0001198.jpg,Fractured,0.7286,Fractured,0.9947,Fractured,0.4612,Non_fractured,0.7877,Fractured
train,IMG0001199.jpg,Fractured,0.9384,Fractured,0.9996,Fractured,0.8759,Fractured,0.9485,Fractured
train,IMG0001200.jpg,Fractured,0.4402,Non_fractured,0.4353,Fractured,0.1012,Non_fractured,0.4259,Fractured
train,IMG0001236.jpg,Fractured,0.8916,Fractured,0.9720,Fractured,0.9029,Fractured,0.9292,Fractured
train,IMG0001350.jpg,Fractured,0.2646,Non_fractured,0.3949,Fractured,0.1815,Non_fractured,0.2991,Non_fractured
train,IMG0001351.jpg,Fractured,0.5499,Fractured,0.8138,Fractured,0.3003,Non_fractured,0.6093,Fractured
train,IMG0001360.jpg,Fractured,0.9547,Fractured,0.9990,Fractured,0.7154,Fractured,0.9116,Fractured
train,IMG0001361.jpg,Fractured,0.6791,Fractured,0.9980,Fractured,0.6694,Fractured,0.7345,Fractured
train,IMG0001362.jpg,Fractured,0.9625,Fractured,0.9968,Fractured,0.8456,Fractured,0.9469,Fractured
train,IMG0001363.jpg,Fractured,0.9480,Fractured,0.9917,Fractured,0.8973,Fractured,0.9536,Fractured
